Servidor,Fecha,Hora,%Libre CPU,%Libre RAM,%Libre HDD,Espacio Total Gb,Espacio Disponible Gb,Num Conexiones,
WIN020,11/18/2019,1:08,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:09,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:10,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:11,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:12,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:13,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:14,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:15,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:16,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:17,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:18,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:19,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:20,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:21,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:22,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:23,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:24,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:25,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:26,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:27,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:28,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:29,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:30,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:31,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:32,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:33,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:34,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:35,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:36,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:37,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:38,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:39,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:40,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:41,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:42,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:43,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:44,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:45,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:46,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:47,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:48,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:49,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:50,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:51,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:52,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:53,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:54,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:55,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:56,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:57,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:58,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:59,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,2:00,62%,35%,40%,1932,780.80,22,
WIN020,11/18/2019,2:01,62%,35%,40%,1932,780.60,22,
WIN020,11/18/2019,2:02,62%,35%,40%,1932,780.40,22,
WIN020,11/18/2019,2:03,62%,35%,40%,1932,780.20,22,
WIN020,11/18/2019,2:04,62%,35%,40%,1932,780.00,22,
WIN020,11/18/2019,2:05,62%,35%,40%,1932,779.80,22,
WIN020,11/18/2019,2:06,62%,35%,40%,1932,779.60,22,
WIN020,11/18/2019,2:07,62%,35%,40%,1932,779.40,22,
WIN020,11/18/2019,2:08,62%,35%,40%,1932,779.20,22,
WIN020,11/18/2019,2:09,62%,35%,40%,1932,779.00,22,
WIN020,11/18/2019,2:10,62%,35%,40%,1932,778.80,22,
WIN020,11/18/2019,2:11,62%,35%,40%,1932,778.60,22,
WIN020,11/18/2019,2:12,62%,35%,40%,1932,778.40,22,
WIN020,11/18/2019,2:13,62%,35%,40%,1932,778.20,22,
WIN020,11/18/2019,2:14,62%,35%,40%,1932,778.00,22,
WIN020,11/18/2019,2:15,62%,35%,40%,1932,777.80,22,
WIN020,11/18/2019,2:16,62%,35%,40%,1932,777.60,22,
WIN020,11/18/2019,2:17,62%,35%,40%,1932,777.40,22,
WIN020,11/18/2019,2:18,62%,35%,40%,1932,777.20,22,
WIN020,11/18/2019,2:19,51%,22%,40%,1932,777.00,22,
WIN020,11/18/2019,2:20,51%,22%,40%,1932,776.80,22,
WIN020,11/18/2019,2:21,51%,22%,40%,1932,776.60,22,
WIN020,11/18/2019,2:22,51%,22%,40%,1932,776.40,22,
WIN020,11/18/2019,2:23,51%,22%,40%,1932,776.20,22,
WIN020,11/18/2019,2:24,51%,22%,40%,1932,776.00,22,
WIN020,11/18/2019,2:25,51%,22%,40%,1932,775.80,22,
WIN020,11/18/2019,2:26,51%,22%,40%,1932,775.60,22,
WIN020,11/18/2019,2:27,51%,22%,40%,1932,775.40,22,
WIN020,11/18/2019,2:28,51%,22%,40%,1932,775.20,22,
WIN020,11/18/2019,2:29,51%,22%,40%,1932,775.00,22,
WIN020,11/18/2019,2:30,51%,22%,40%,1932,774.80,22,
WIN020,11/18/2019,2:31,51%,22%,40%,1932,774.60,22,
WIN020,11/18/2019,2:32,51%,22%,40%,1932,774.40,22,
WIN020,11/18/2019,2:33,51%,22%,40%,1932,774.20,22,
WIN020,11/18/2019,2:34,51%,22%,40%,1932,774.00,22,
WIN020,11/18/2019,2:35,51%,22%,40%,1932,773.80,22,
WIN020,11/18/2019,2:36,51%,22%,40%,1932,773.60,22,
WIN020,11/18/2019,2:37,51%,22%,40%,1932,773.40,22,
WIN020,11/18/2019,2:38,51%,22%,40%,1932,773.20,22,
WIN020,11/18/2019,2:39,51%,22%,40%,1932,773.00,22,
WIN020,11/18/2019,2:40,51%,22%,40%,1932,772.80,22,
WIN020,11/18/2019,2:41,51%,22%,40%,1932,772.60,22,
WIN020,11/18/2019,2:42,51%,22%,40%,1932,772.40,22,
WIN020,11/18/2019,2:43,74%,51%,40%,1932,772.20,22,
WIN020,11/18/2019,2:44,73%,51%,40%,1932,772.00,22,
WIN020,11/18/2019,2:45,73%,50%,40%,1932,771.80,22,
WIN020,11/18/2019,2:46,73%,50%,40%,1932,771.60,22,
WIN020,11/18/2019,2:47,73%,50%,40%,1932,771.40,22,
WIN020,11/18/2019,2:48,73%,50%,40%,1932,771.20,22,
WIN020,11/18/2019,2:49,73%,50%,40%,1932,771.00,22,
WIN020,11/18/2019,2:50,73%,50%,40%,1932,770.80,22,
WIN020,11/18/2019,2:51,73%,49%,40%,1932,770.60,22,
WIN020,11/18/2019,2:52,73%,49%,40%,1932,770.40,22,
WIN020,11/18/2019,2:53,72%,49%,40%,1932,770.20,22,
WIN020,11/18/2019,2:54,72%,49%,40%,1932,770.00,22,
WIN020,11/18/2019,2:55,72%,49%,40%,1932,769.80,22,
WIN020,11/18/2019,2:56,72%,49%,40%,1932,769.60,22,
WIN020,11/18/2019,2:57,72%,48%,40%,1932,769.40,22,
WIN020,11/18/2019,2:58,72%,48%,40%,1932,769.20,22,
WIN020,11/18/2019,2:59,72%,48%,40%,1932,769.00,22,
WIN020,11/18/2019,3:00,72%,48%,40%,1932,768.80,22,
WIN020,11/18/2019,3:01,72%,48%,40%,1932,768.60,22,
WIN020,11/18/2019,3:02,71%,48%,40%,1932,768.40,22,
WIN020,11/18/2019,3:03,71%,48%,40%,1932,768.20,22,
WIN020,11/18/2019,3:04,71%,47%,40%,1932,768.00,22,
WIN020,11/18/2019,3:05,71%,47%,40%,1932,767.80,22,
WIN020,11/18/2019,3:06,71%,47%,40%,1932,767.60,22,
WIN020,11/18/2019,3:07,71%,47%,40%,1932,767.40,22,
WIN020,11/18/2019,3:08,71%,47%,40%,1932,767.20,22,
WIN020,11/18/2019,3:09,71%,47%,40%,1932,767.00,22,
WIN020,11/18/2019,3:10,71%,46%,40%,1932,766.80,22,
WIN020,11/18/2019,3:11,70%,46%,40%,1932,766.60,22,
WIN020,11/18/2019,3:12,70%,46%,40%,1932,766.40,22,
WIN020,11/18/2019,3:13,70%,46%,40%,1932,766.20,22,
WIN020,11/18/2019,3:14,70%,46%,40%,1932,766.00,22,
WIN020,11/18/2019,3:15,70%,46%,40%,1932,765.80,22,
WIN020,11/18/2019,3:16,70%,46%,40%,1932,765.60,22,
WIN020,11/18/2019,3:17,70%,45%,40%,1932,765.40,22,
WIN020,11/18/2019,3:18,70%,45%,40%,1932,765.20,22,
WIN020,11/18/2019,3:19,70%,45%,40%,1932,765.00,22,
WIN020,11/18/2019,3:20,70%,45%,40%,1932,764.80,22,
WIN020,11/18/2019,3:21,69%,45%,40%,1932,764.60,22,
WIN020,11/18/2019,3:22,69%,45%,40%,1932,764.40,22,
WIN020,11/18/2019,3:23,69%,44%,40%,1932,764.20,22,
WIN020,11/18/2019,3:24,69%,44%,40%,1932,764.00,22,
WIN020,11/18/2019,3:25,69%,44%,40%,1932,763.80,22,
WIN020,11/18/2019,3:26,69%,44%,40%,1932,763.60,22,
WIN020,11/18/2019,3:27,69%,44%,40%,1932,763.40,22,
WIN020,11/18/2019,3:28,69%,44%,40%,1932,763.20,22,
WIN020,11/18/2019,3:29,69%,44%,39%,1932,763.00,22,
WIN020,11/18/2019,3:30,68%,43%,39%,1932,762.80,22,
WIN020,11/18/2019,3:31,68%,43%,39%,1932,762.60,22,
WIN020,11/18/2019,3:32,68%,43%,39%,1932,762.40,22,
WIN020,11/18/2019,3:33,68%,43%,39%,1932,762.20,22,
WIN020,11/18/2019,3:34,68%,43%,39%,1932,762.00,22,
WIN020,11/18/2019,3:35,68%,43%,39%,1932,761.80,22,
WIN020,11/18/2019,3:36,68%,42%,39%,1932,761.60,22,
WIN020,11/18/2019,3:37,68%,42%,39%,1932,761.40,22,
WIN020,11/18/2019,3:38,68%,42%,39%,1932,761.20,22,
WIN020,11/18/2019,3:39,67%,42%,39%,1932,761.00,22,
WIN020,11/18/2019,3:40,67%,42%,39%,1932,760.80,22,
WIN020,11/18/2019,3:41,67%,42%,39%,1932,760.60,22,
WIN020,11/18/2019,3:42,67%,42%,39%,1932,760.40,22,
WIN020,11/18/2019,3:43,67%,41%,39%,1932,760.20,22,
WIN020,11/18/2019,3:44,67%,41%,39%,1932,760.00,22,
WIN020,11/18/2019,3:45,67%,41%,39%,1932,759.80,22,
WIN020,11/18/2019,3:46,67%,41%,39%,1932,759.60,22,
WIN020,11/18/2019,3:47,67%,41%,39%,1932,759.40,22,
WIN020,11/18/2019,3:48,66%,41%,39%,1932,759.20,22,
WIN020,11/18/2019,3:49,66%,41%,39%,1932,759.00,22,
WIN020,11/18/2019,3:50,66%,40%,39%,1932,758.80,22,
WIN020,11/18/2019,3:51,66%,40%,39%,1932,758.60,22,
WIN020,11/18/2019,3:52,66%,40%,39%,1932,758.40,22,
WIN020,11/18/2019,3:53,66%,40%,39%,1932,758.20,22,
WIN020,11/18/2019,3:54,66%,40%,39%,1932,758.00,22,
WIN020,11/18/2019,3:55,66%,40%,39%,1932,757.80,22,
WIN020,11/18/2019,3:56,66%,40%,39%,1932,757.60,22,
WIN020,11/18/2019,3:57,65%,39%,39%,1932,757.40,22,
WIN020,11/18/2019,3:58,65%,39%,39%,1932,757.20,22,
WIN020,11/18/2019,3:59,65%,39%,39%,1932,757.00,22,
WIN020,11/18/2019,4:00,65%,39%,39%,1932,756.80,22,
WIN020,11/18/2019,4:01,65%,39%,39%,1932,756.60,22,
WIN020,11/18/2019,4:02,65%,39%,39%,1932,756.40,22,
WIN020,11/18/2019,4:03,65%,39%,39%,1932,756.20,22,
WIN020,11/18/2019,4:04,65%,38%,39%,1932,756.00,22,
WIN020,11/18/2019,4:05,65%,38%,39%,1932,755.80,22,
WIN020,11/18/2019,4:06,65%,38%,39%,1932,755.60,22,
WIN020,11/18/2019,4:07,64%,38%,39%,1932,755.40,22,
WIN020,11/18/2019,4:08,72%,48%,39%,1932,755.20,22,
WIN020,11/18/2019,4:09,72%,48%,39%,1932,755.00,22,
WIN020,11/18/2019,4:10,72%,48%,39%,1932,754.80,22,
WIN020,11/18/2019,4:11,72%,48%,39%,1932,754.60,22,
WIN020,11/18/2019,4:12,72%,48%,39%,1932,754.40,22,
WIN020,11/18/2019,4:13,78%,58%,39%,1932,754.20,22,
WIN020,11/18/2019,4:14,78%,58%,39%,1932,754.00,22,
WIN020,11/18/2019,4:15,78%,58%,39%,1932,753.80,22,
WIN020,11/18/2019,4:16,78%,58%,39%,1932,753.60,22,
WIN020,11/18/2019,4:17,78%,58%,39%,1932,753.40,22,
WIN020,11/18/2019,4:18,78%,58%,39%,1932,753.20,22,
WIN020,11/18/2019,4:19,78%,58%,39%,1932,753.00,22,
WIN020,11/18/2019,4:20,78%,58%,39%,1932,752.80,22,
WIN020,11/18/2019,4:21,88%,74%,39%,1932,754.00,22,
WIN020,11/18/2019,4:22,88%,74%,39%,1932,755.20,22,
WIN020,11/18/2019,4:23,88%,74%,39%,1932,756.40,22,
WIN020,11/18/2019,4:24,88%,74%,39%,1932,757.60,22,
WIN020,11/18/2019,4:25,88%,74%,39%,1932,758.80,22,
WIN020,11/18/2019,4:26,88%,74%,39%,1932,760.00,22,
WIN020,11/18/2019,4:27,88%,74%,39%,1932,761.20,22,
WIN020,11/18/2019,4:28,88%,74%,39%,1932,762.40,22,
WIN020,11/18/2019,4:29,88%,74%,40%,1932,763.60,22,
WIN020,11/18/2019,4:30,88%,74%,40%,1932,764.80,22,
WIN020,11/18/2019,4:31,88%,74%,40%,1932,766.00,22,
WIN020,11/18/2019,4:32,88%,74%,40%,1932,767.20,22,
WIN020,11/18/2019,4:33,88%,74%,40%,1932,768.40,22,
WIN020,11/18/2019,4:34,88%,74%,40%,1932,769.60,22,
WIN020,11/18/2019,4:35,88%,74%,40%,1932,770.80,22,
WIN020,11/18/2019,4:36,88%,74%,40%,1932,772.00,22,
WIN020,11/18/2019,4:37,88%,74%,40%,1932,773.20,22,
WIN020,11/18/2019,4:38,88%,74%,40%,1932,774.40,22,
WIN020,11/18/2019,4:39,88%,74%,40%,1932,775.60,22,
WIN020,11/18/2019,4:40,88%,74%,40%,1932,776.80,22,
WIN020,11/18/2019,4:41,88%,74%,40%,1932,778.00,22,
WIN020,11/18/2019,4:42,88%,74%,40%,1932,779.20,22,
WIN020,11/18/2019,4:43,88%,74%,40%,1932,780.40,22,
WIN020,11/18/2019,4:44,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:45,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:46,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:47,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:48,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:49,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:50,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:51,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:52,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:53,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:54,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:55,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:56,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:57,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:58,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,4:59,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:00,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:01,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:02,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:03,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:04,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:05,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:06,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:07,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:08,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:09,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:10,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:11,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:12,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:13,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:14,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:15,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:16,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:17,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:18,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:19,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:20,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:21,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:22,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:23,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:24,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:25,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:26,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:27,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:28,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:29,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:30,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:31,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:32,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:33,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:34,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:35,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:36,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:37,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:38,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:39,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:40,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:41,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:42,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:43,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:44,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:45,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:46,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:47,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:48,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:49,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:50,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:51,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:52,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:53,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:54,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:55,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:56,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:57,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:58,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,5:59,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:00,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:01,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:02,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:03,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:04,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:05,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:06,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:07,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:08,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:09,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:10,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:11,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:12,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:13,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:14,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:15,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:16,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:17,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:18,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:19,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:20,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:21,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:22,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:23,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:24,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:25,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:26,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:27,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:28,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:29,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:30,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:31,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:32,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:33,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:34,88%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,6:35,88%,74%,40%,1932,781.00,0,
